Combination,# Total used,# Children used,# Adults used,# Total found,# Children found,# Adults found,Total used (%),Children used (%),Adults used (%),Difference,Ratio Children:Adults used(%),Fisher's Exact Test,p-Value,Success
electricity + light bulb,1,0,1,2,1,1,50,0,100,100,0:100,0.0,1.0,True
electricity + light,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
electricity + mud,1,0,1,14,7,7,7,0,14,14,0:100,0.0,1.0,False
electricity + oasis,1,0,1,3,1,2,33,0,50,50,0:100,0.0,1.0,False
electricity + ocean,1,0,1,7,1,6,14,0,17,17,0:100,0.0,1.0,False
electricity + pyramid,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
electricity + sandstone,1,0,1,4,0,4,25,0,25,25,0:100,nan,1.0,False
electricity + sandstorm,1,0,1,3,0,3,33,0,33,33,0:100,nan,1.0,False
electricity + tsunami,1,0,1,2,0,2,50,0,50,50,0:100,nan,1.0,False
electricity + wave,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
light + light,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
light bulb + light bulb,1,0,1,2,1,1,50,0,100,100,0:100,0.0,1.0,False
energy + aquarium,1,0,1,9,5,4,11,0,25,25,0:100,0.0,0.44,False
glasses + electricity,1,0,1,2,1,1,50,0,100,100,0:100,0.0,1.0,False
aquarium + electricity,1,0,1,3,1,2,33,0,50,50,0:100,0.0,1.0,False
light bulb + energy,1,0,1,2,1,1,50,0,100,100,0:100,0.0,1.0,False
light + energy,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
light + water,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
fire + light,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
air + light,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
atmosphere + light,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
light bulb + wire,1,0,1,2,1,1,50,0,100,100,0:100,0.0,1.0,False
blade + light,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
steam + light,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
wire + aquarium,1,0,1,3,1,2,33,0,50,50,0:100,0.0,1.0,False
earth + glass,1,0,1,12,6,6,8,0,17,17,0:100,0.0,1.0,False
glasses + fire,1,0,1,5,3,2,20,0,50,50,0:100,0.0,0.4,False
glass + obsidian,1,0,1,10,5,5,10,0,20,20,0:100,0.0,1.0,False
light + blender,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
boiler + light,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
energy + beach,1,0,1,12,7,5,8,0,20,20,0:100,0.0,0.42,False
energy + blade,1,0,1,11,4,7,9,0,14,14,0:100,0.0,1.0,False
wire + glasses,1,0,1,2,1,1,50,0,100,100,0:100,0.0,1.0,False
glass + rust,1,0,1,3,0,3,33,0,33,33,0:100,nan,1.0,False
pyramid + glass,1,0,1,1,0,1,100,0,100,100,0:100,nan,1.0,False
hourglass + energy,1,0,1,3,2,1,33,0,100,100,0:100,0.0,0.33,False
